Local time,Open,High,Low,Close,Volume
06.06.2018 18:00:00.000 GMT-0700,1.17917,1.17997,1.17874,1.17879,6710.79
06.06.2018 19:00:00.000 GMT-0700,1.17880,1.17941,1.17878,1.17890,5468.1602
06.06.2018 20:00:00.000 GMT-0700,1.17889,1.17930,1.17842,1.17865,4080.3899
06.06.2018 21:00:00.000 GMT-0700,1.17864,1.17949,1.17854,1.17939,4642.3198
06.06.2018 22:00:00.000 GMT-0700,1.17938,1.18061,1.17938,1.18051,6641.79
06.06.2018 23:00:00.000 GMT-0700,1.18051,1.18136,1.17909,1.18105,15144.2305
07.06.2018 00:00:00.000 GMT-0700,1.18104,1.18379,1.18082,1.18275,15146.0898
07.06.2018 01:00:00.000 GMT-0700,1.18275,1.18304,1.18142,1.18214,12876.0703
07.06.2018 02:00:00.000 GMT-0700,1.18209,1.18279,1.18160,1.18192,10662.1104
07.06.2018 03:00:00.000 GMT-0700,1.18194,1.18295,1.18171,1.18251,11223.5303
07.06.2018 04:00:00.000 GMT-0700,1.18251,1.18389,1.18134,1.18296,15136.4404
07.06.2018 05:00:00.000 GMT-0700,1.18293,1.18398,1.18276,1.18338,15134.0801
07.06.2018 06:00:00.000 GMT-0700,1.18338,1.18368,1.18060,1.18121,15998.4102
07.06.2018 07:00:00.000 GMT-0700,1.18119,1.18289,1.18058,1.18284,17640.2891
07.06.2018 08:00:00.000 GMT-0700,1.18287,1.18304,1.18131,1.18144,16864.3301
07.06.2018 09:00:00.000 GMT-0700,1.18144,1.18193,1.17993,1.18081,13686.3604
07.06.2018 10:00:00.000 GMT-0700,1.18082,1.18226,1.18026,1.18099,15553.6904
07.06.2018 11:00:00.000 GMT-0700,1.18099,1.18151,1.18053,1.18076,14749.7695
07.06.2018 12:00:00.000 GMT-0700,1.18077,1.18092,1.17979,1.17984,9733.5801
07.06.2018 13:00:00.000 GMT-0700,1.17983,1.18026,1.17962,1.17988,5115.75
07.06.2018 14:00:00.000 GMT-0700,1.17980,1.18005,1.17963,1.17979,2627.1899
07.06.2018 15:00:00.000 GMT-0700,1.17976,1.17999,1.17966,1.17970,2489.78
07.06.2018 16:00:00.000 GMT-0700,1.17972,1.17975,1.17920,1.17931,3947.5601
07.06.2018 17:00:00.000 GMT-0700,1.17931,1.18077,1.17915,1.18058,5539.0898
07.06.2018 18:00:00.000 GMT-0700,1.18057,1.18102,1.18016,1.18020,5345.2002
07.06.2018 19:00:00.000 GMT-0700,1.18020,1.18058,1.17970,1.17997,4651.1401
07.06.2018 20:00:00.000 GMT-0700,1.17995,1.18002,1.17925,1.17986,4706.5098
07.06.2018 21:00:00.000 GMT-0700,1.17986,1.18065,1.17957,1.18058,4522.4199
07.06.2018 22:00:00.000 GMT-0700,1.18058,1.18103,1.18020,1.18052,5105.25
07.06.2018 23:00:00.000 GMT-0700,1.18053,1.18094,1.17709,1.17776,17190.6895
08.06.2018 00:00:00.000 GMT-0700,1.17778,1.17847,1.17666,1.17805,17375.0098
08.06.2018 01:00:00.000 GMT-0700,1.17806,1.17852,1.17590,1.17640,24734.0898
08.06.2018 02:00:00.000 GMT-0700,1.17640,1.17714,1.17621,1.17649,12137.3096
08.06.2018 03:00:00.000 GMT-0700,1.17648,1.17648,1.17330,1.17363,14900.46
08.06.2018 04:00:00.000 GMT-0700,1.17363,1.17511,1.17271,1.17476,14714.1904
08.06.2018 05:00:00.000 GMT-0700,1.17476,1.17572,1.17363,1.17478,15582.8398
08.06.2018 06:00:00.000 GMT-0700,1.17479,1.17699,1.17403,1.17574,17499.4199
08.06.2018 07:00:00.000 GMT-0700,1.17576,1.17740,1.17516,1.17666,17459.9609
08.06.2018 08:00:00.000 GMT-0700,1.17668,1.17743,1.17590,1.17735,14986.7197
08.06.2018 09:00:00.000 GMT-0700,1.17733,1.17779,1.17673,1.17728,10942.4502
08.06.2018 10:00:00.000 GMT-0700,1.17728,1.17774,1.17657,1.17666,8504.4102
08.06.2018 11:00:00.000 GMT-0700,1.17665,1.17749,1.17650,1.17697,7673.48
08.06.2018 12:00:00.000 GMT-0700,1.17698,1.17710,1.17648,1.17662,8459.9102
08.06.2018 13:00:00.000 GMT-0700,1.17662,1.17720,1.17644,1.17666,4164.3198
08.06.2018 14:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 15:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 16:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 17:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 18:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 19:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 20:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 21:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 22:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
08.06.2018 23:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 00:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 01:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 02:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 03:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 04:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 05:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 06:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 07:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 08:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 09:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 10:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 11:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 12:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 13:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 14:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 15:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 16:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 17:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 18:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 19:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 20:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 21:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 22:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
09.06.2018 23:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 00:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 01:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 02:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 03:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 04:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 05:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 06:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 07:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 08:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 09:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 10:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 11:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 12:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 13:00:00.000 GMT-0700,1.17666,1.17666,1.17666,1.17666,0
10.06.2018 14:00:00.000 GMT-0700,1.17736,1.17754,1.17722,1.17745,948.53
10.06.2018 15:00:00.000 GMT-0700,1.17745,1.17749,1.17710,1.17713,2422.1399
10.06.2018 16:00:00.000 GMT-0700,1.17713,1.17857,1.17713,1.17845,3274.45
10.06.2018 17:00:00.000 GMT-0700,1.17845,1.17999,1.17799,1.17980,5821.5298
10.06.2018 18:00:00.000 GMT-0700,1.17980,1.18077,1.17956,1.18033,6775.8101
10.06.2018 19:00:00.000 GMT-0700,1.18033,1.18058,1.17936,1.17970,5364.5801
10.06.2018 20:00:00.000 GMT-0700,1.17970,1.17972,1.17915,1.17929,3541.03
10.06.2018 21:00:00.000 GMT-0700,1.17929,1.17994,1.17903,1.17985,3631.1399
10.06.2018 22:00:00.000 GMT-0700,1.17985,1.17993,1.17921,1.17940,4709.6899
10.06.2018 23:00:00.000 GMT-0700,1.17940,1.18157,1.17886,1.18075,14492.8096
11.06.2018 00:00:00.000 GMT-0700,1.18074,1.18205,1.18007,1.18025,12616.7695
11.06.2018 01:00:00.000 GMT-0700,1.18024,1.18135,1.17838,1.17841,12675.3203
11.06.2018 02:00:00.000 GMT-0700,1.17841,1.17917,1.17783,1.17895,11766.5996
11.06.2018 03:00:00.000 GMT-0700,1.17895,1.17977,1.17784,1.17834,11599.8896
11.06.2018 04:00:00.000 GMT-0700,1.17832,1.17892,1.17784,1.17838,10206.3203
11.06.2018 05:00:00.000 GMT-0700,1.17847,1.17983,1.17752,1.17983,14011.2695
11.06.2018 06:00:00.000 GMT-0700,1.17983,1.18085,1.17938,1.18060,13009.5801
11.06.2018 07:00:00.000 GMT-0700,1.18059,1.18140,1.17996,1.18066,14394.1504
11.06.2018 08:00:00.000 GMT-0700,1.18070,1.18110,1.17981,1.18017,13679.3203
11.06.2018 09:00:00.000 GMT-0700,1.18018,1.18020,1.17807,1.17881,11325.2803
11.06.2018 10:00:00.000 GMT-0700,1.17882,1.17917,1.17819,1.17848,8591.9697
11.06.2018 11:00:00.000 GMT-0700,1.17848,1.17894,1.17834,1.17868,8907.8496
11.06.2018 12:00:00.000 GMT-0700,1.17872,1.17881,1.17828,1.17849,6660.5498
11.06.2018 13:00:00.000 GMT-0700,1.17850,1.17861,1.17827,1.17833,3046.3899
11.06.2018 14:00:00.000 GMT-0700,1.17833,1.17844,1.17817,1.17822,2808.4399
11.06.2018 15:00:00.000 GMT-0700,1.17821,1.17827,1.17715,1.17749,3753.8201
11.06.2018 16:00:00.000 GMT-0700,1.17748,1.17788,1.17718,1.17725,4483.2998
11.06.2018 17:00:00.000 GMT-0700,1.17726,1.17732,1.17410,1.17528,9507.8799
11.06.2018 18:00:00.000 GMT-0700,1.17528,1.17621,1.17435,1.17595,6928.4302
11.06.2018 19:00:00.000 GMT-0700,1.17600,1.17708,1.17551,1.17692,6761.3198
11.06.2018 20:00:00.000 GMT-0700,1.17693,1.17713,1.17618,1.17645,5377.3999
